Ticket_ID,Business_Unit_ID,Process_ID,Category_ID,Region,Priority,Created_Date,Resolution_Hours,SLA_Hours,SLA_Breached,Status,Root_Cause,Risk_Score,Risk_Category,Escalation_Flag,Customer_Impact,Root_Cause_Clean,Customer_Impact_Clean,Business_Unit,Process
TKT-000001,8,6,1,UK,Medium,2024-05-30,58.9,72,False,Resolved,Human Error,20,Low,False,Low,Human Error,Low,Commercial Operations,System Access
TKT-000002,1,1,8,Australia,Low,2025-10-20,177.2,120,True,Closed,Missing Data,50,Medium,False,Low,Missing Data,Low,Customer Operations,Order Management
TKT-000003,7,8,3,Singapore,Medium,2025-08-07,82.3,72,True,Closed,System Defect,56,Medium,True,Medium,System Defect,Medium,Finance,Customer Support
TKT-000004,8,3,3,UK,Medium,2024-05-30,11.7,72,False,Resolved,External Dependency,29,Low,False,Low,External Dependency,Low,Commercial Operations,Inventory Planning
TKT-000005,3,4,1,Canada,High,2025-03-24,25.8,24,True,Closed,Training Gap,56,Medium,True,,Training Gap,Unknown,Supply Chain,Production Support
TKT-000006,7,2,2,Canada,High,2025-08-25,17.8,24,False,Closed,Integration Failure,30,Low,False,Medium,Integration Failure,Medium,Finance,Quality Review
TKT-000007,1,5,8,Australia,Critical,2024-11-10,3.6,8,False,Closed,Unknown,57,Medium,False,,Unknown,Unknown,Customer Operations,Submission Management
TKT-000008,2,5,8,Germany,Low,2025-02-13,4.7,120,False,Resolved,External Dependency,9,Low,False,Medium,External Dependency,Medium,Quality Assurance,Submission Management
TKT-000009,7,2,2,Germany,Medium,2025-01-03,54.3,72,False,Resolved,Missing Data,35,Low,False,High,Missing Data,High,Finance,Quality Review
TKT-000010,4,3,5,UK,Medium,2025-11-15,48.6,72,False,Closed,Process Gap,25,Low,False,Medium,Process Gap,Medium,Manufacturing,Inventory Planning
TKT-000011,4,5,2,Singapore,Critical,2025-04-20,26.9,8,True,Resolved,Missing Data,70,High,False,Medium,Missing Data,Medium,Manufacturing,Submission Management
TKT-000012,7,3,6,Germany,Low,2025-05-09,38.8,120,False,Resolved,Unknown,23,Low,False,,Unknown,Unknown,Finance,Inventory Planning
TKT-000013,4,3,1,Australia,Low,2024-08-24,29.9,120,False,Resolved,Missing Data,16,Low,False,Low,Missing Data,Low,Manufacturing,Inventory Planning
TKT-000014,8,4,2,Canada,High,2025-11-22,8.3,24,False,Open,Human Error,56,Medium,False,Low,Human Error,Low,Commercial Operations,Production Support
TKT-000015,5,1,1,Germany,High,2024-09-11,14.8,24,False,Resolved,Integration Failure,53,Medium,False,Low,Integration Failure,Low,Regulatory Affairs,Order Management
TKT-000016,4,8,1,Germany,High,2025-01-19,34.8,24,True,Resolved,Unknown,79,High,True,High,Unknown,High,Manufacturing,Customer Support
TKT-000017,1,8,7,France,High,2024-01-07,141.5,24,True,Closed,Training Gap,58,Medium,False,Low,Training Gap,Low,Customer Operations,Customer Support
TKT-000018,6,5,1,Australia,Medium,2025-12-09,31.0,72,False,Resolved,Human Error,28,Low,False,Low,Human Error,Low,IT Operations,Submission Management
TKT-000019,7,8,3,Netherlands,Medium,2024-01-16,48.3,72,False,Resolved,Human Error,31,Low,False,Low,Human Error,Low,Finance,Customer Support
TKT-000020,2,4,8,Canada,High,2025-10-05,37.8,24,True,Closed,Integration Failure,62,Medium,False,High,Integration Failure,High,Quality Assurance,Production Support
TKT-000021,6,7,5,Canada,Medium,2025-08-03,54.7,72,False,Open,Training Gap,19,Low,False,,Training Gap,Unknown,IT Operations,Invoice Processing
TKT-000022,3,6,7,France,High,2024-01-06,22.3,24,False,Closed,Missing Data,54,Medium,False,Medium,Missing Data,Medium,Supply Chain,System Access
TKT-000023,8,2,8,Australia,High,2025-01-01,16.8,24,False,Resolved,Human Error,39,Low,False,High,Human Error,High,Commercial Operations,Quality Review
TKT-000024,6,7,8,Netherlands,Medium,2025-11-07,62.4,72,False,Resolved,Training Gap,22,Low,False,,Training Gap,Unknown,IT Operations,Invoice Processing
TKT-000025,7,5,2,France,Medium,2024-11-01,54.0,72,False,In Progress,Integration Failure,24,Low,False,Low,Integration Failure,Low,Finance,Submission Management
TKT-000026,4,2,6,France,Medium,2024-04-25,27.3,72,False,Resolved,Missing Data,38,Low,False,High,Missing Data,High,Manufacturing,Quality Review
TKT-000027,4,7,5,Canada,High,2024-11-17,30.0,24,True,Closed,Training Gap,67,Medium,False,Medium,Training Gap,Medium,Manufacturing,Invoice Processing
TKT-000028,1,4,8,Germany,Medium,2025-10-12,108.4,72,True,Closed,External Dependency,68,Medium,False,Low,External Dependency,Low,Customer Operations,Production Support
TKT-000029,5,7,5,France,Medium,2024-02-28,33.5,72,False,Closed,External Dependency,35,Low,False,High,External Dependency,High,Regulatory Affairs,Invoice Processing
TKT-000030,4,8,1,Singapore,Critical,2024-07-11,15.3,8,True,Resolved,System Defect,84,High,True,,System Defect,Unknown,Manufacturing,Customer Support
TKT-000031,7,8,5,US,Medium,2025-06-16,50.3,72,False,Resolved,System Defect,23,Low,False,,System Defect,Unknown,Finance,Customer Support
