Ticket_ID,Business_Unit_ID,Process_ID,Category_ID,Region,Priority,Created_Date,Resolution_Hours,SLA_Hours,SLA_Breached,Status,Root_Cause,Risk_Score,Risk_Category,Escalation_Flag,Customer_Impact
TKT-000001,8,6,1,UK,Medium,2024-05-30,58.9,72,No,Resolved,Human Error,20,Low,No,Low
TKT-000002,1,1,8,Australia,Low,2025-10-20,177.2,120,Yes,Closed,Missing Data,50,Medium,No,Low
TKT-000003,7,8,3,Singapore,Medium,2025-08-07,82.3,72,Yes,Closed,System Defect,56,Medium,Yes,Medium
TKT-000004,8,3,3,UK,Medium,2024-05-30,11.7,72,No,Resolved,External Dependency,29,Low,No,Low
TKT-000005,3,4,1,Canada,High,2025-03-24,25.8,24,Yes,Closed,Training Gap,56,Medium,Yes,None
TKT-000006,7,2,2,Canada,High,2025-08-25,17.8,24,No,Closed,Integration Failure,30,Low,No,Medium
TKT-000007,1,5,8,Australia,Critical,2024-11-10,3.6,8,No,Closed,Unknown,57,Medium,No,None
TKT-000008,2,5,8,Germany,Low,2025-02-13,4.7,120,No,Resolved,External Dependency,9,Low,No,Medium
TKT-000009,7,2,2,Germany,Medium,2025-01-03,54.3,72,No,Resolved,Missing Data,35,Low,No,High
TKT-000010,4,3,5,UK,Medium,2025-11-15,48.6,72,No,Closed,Process Gap,25,Low,No,Medium
TKT-000011,4,5,2,Singapore,Critical,2025-04-20,26.9,8,Yes,Resolved,Missing Data,70,High,No,Medium
TKT-000012,7,3,6,Germany,Low,2025-05-09,38.8,120,No,Resolved,Unknown,23,Low,No,None
TKT-000013,4,3,1,Australia,Low,2024-08-24,29.9,120,No,Resolved,Missing Data,16,Low,No,Low
TKT-000014,8,4,2,Canada,High,2025-11-22,8.3,24,No,Open,Human Error,56,Medium,No,Low
TKT-000015,5,1,1,Germany,High,2024-09-11,14.8,24,No,Resolved,Integration Failure,53,Medium,No,Low
TKT-000016,4,8,1,Germany,High,2025-01-19,34.8,24,Yes,Resolved,Unknown,79,High,Yes,High
TKT-000017,1,8,7,France,High,2024-01-07,141.5,24,Yes,Closed,Training Gap,58,Medium,No,Low
TKT-000018,6,5,1,Australia,Medium,2025-12-09,31.0,72,No,Resolved,Human Error,28,Low,No,Low
TKT-000019,7,8,3,Netherlands,Medium,2024-01-16,48.3,72,No,Resolved,Human Error,31,Low,No,Low
TKT-000020,2,4,8,Canada,High,2025-10-05,37.8,24,Yes,Closed,Integration Failure,62,Medium,No,High
TKT-000021,6,7,5,Canada,Medium,2025-08-03,54.7,72,No,Open,Training Gap,19,Low,No,None
TKT-000022,3,6,7,France,High,2024-01-06,22.3,24,No,Closed,Missing Data,54,Medium,No,Medium
TKT-000023,8,2,8,Australia,High,2025-01-01,16.8,24,No,Resolved,Human Error,39,Low,No,High
TKT-000024,6,7,8,Netherlands,Medium,2025-11-07,62.4,72,No,Resolved,Training Gap,22,Low,No,None
TKT-000025,7,5,2,France,Medium,2024-11-01,54.0,72,No,In Progress,Integration Failure,24,Low,No,Low
TKT-000026,4,2,6,France,Medium,2024-04-25,27.3,72,No,Resolved,Missing Data,38,Low,No,High
TKT-000027,4,7,5,Canada,High,2024-11-17,30.0,24,Yes,Closed,Training Gap,67,Medium,No,Medium
TKT-000028,1,4,8,Germany,Medium,2025-10-12,108.4,72,Yes,Closed,External Dependency,68,Medium,No,Low
TKT-000029,5,7,5,France,Medium,2024-02-28,33.5,72,No,Closed,External Dependency,35,Low,No,High
TKT-000030,4,8,1,Singapore,Critical,2024-07-11,15.3,8,Yes,Resolved,System Defect,84,High,Yes,None
TKT-000031,7,8,5,US,Medium,2025-06-16,50.3,72,No,Resolved,System Defect,23,Low,No,None
TKT-000032,6,4,3,Singapore,High,2024-11-10,143.0,24,Yes,Resolved,Human Error,78,High,No,High
TKT-000033,3,8,5,Canada,Critical,2025-06-21,8.0,8,No,Open,Training Gap,66,Medium,No,None
TKT-000034,3,8,3,France,Low,2024-10-08,44.2,120,No,Resolved,System Defect,37,Low,No,Medium
TKT-000035,2,5,1,Canada,Low,2024-10-12,105.2,120,No,In Progress,Training Gap,13,Low,No,None
TKT-000036,4,2,3,Canada,Medium,2024-05-16,65.6,72,No,Closed,Human Error,27,Low,No,Medium
TKT-000037,7,6,8,US,High,2025-06-12,11.0,24,No,Resolved,External Dependency,45,Medium,No,Low
TKT-000038,4,4,3,Netherlands,High,2025-07-27,21.8,24,No,Resolved,System Defect,33,Low,No,None
TKT-000039,6,4,8,Netherlands,Medium,2024-11-27,47.4,72,No,Resolved,System Defect,41,Medium,No,Low
TKT-000040,4,7,5,Netherlands,Medium,2024-04-14,35.3,72,No,In Progress,External Dependency,31,Low,No,High
TKT-000041,1,5,7,Australia,High,2025-06-27,12.6,24,No,Resolved,Integration Failure,41,Medium,No,Low
